2024-09-18 16:35:00 INFO  LoginPage:42 - LoginPage validated
  2024-09-18 17:10:58 INFO  LoginPage:53 - LoginPage validated
  2024-09-18 17:12:00 INFO  LoginPage:53 - LoginPage validated
  2024-09-18 17:13:03 INFO  LoginPage:53 - LoginPage validated
  2024-09-18 17:14:13 INFO  LoginPage:53 - LoginPage validated
  2024-09-19 12:18:33 INFO  Register:30 - SignupPage elements initialized.
  2024-09-19 17:29:36 INFO  LoginPage:46 - LoginPage validated
  2024-09-19 18:11:47 INFO  LoginPage:64 - Login
  2024-09-19 18:11:47 INFO  LoginPage:65 - LoginPage validated
  2024-09-19 18:16:27 INFO  CustomListener:20 - Testcase startedloginTest
  2024-09-19 18:16:27 INFO  LoginPage:64 - Login
  2024-09-19 18:16:27 INFO  LoginPage:65 - LoginPage validated
  2024-09-19 18:16:39 INFO  CustomListener:35 - Testcase successloginTest
  2024-09-19 18:16:39 INFO  CustomListener:51 - Flushed the Extent Report
  2024-09-19 18:38:48 INFO  CustomListener:20 - Testcase startedkyariLogoImageTest
  2024-09-19 18:38:49 INFO  LoginPage:59 - LoginPage validated
  2024-09-19 18:38:49 INFO  CustomListener:35 - Testcase successkyariLogoImageTest
  2024-09-19 18:38:50 INFO  CustomListener:51 - Flushed the Extent Report
  2024-09-20 11:30:43 INFO  CustomListener:20 - Testcase startedLoginPageTitleTest
  2024-09-20 11:30:44 WARN  CustomListener:28 - Testcase skippedLoginPageTitleTest
  2024-09-20 11:30:44 INFO  CustomListener:20 - Testcase startedkyariLogoImageTest
  2024-09-20 11:30:44 WARN  CustomListener:28 - Testcase skippedkyariLogoImageTest
  2024-09-20 11:30:44 INFO  CustomListener:20 - Testcase startedloginTest
  2024-09-20 11:30:44 WARN  CustomListener:28 - Testcase skippedloginTest
  2024-09-20 11:30:44 INFO  CustomListener:51 - Flushed the Extent Report
  2024-09-20 11:37:03 INFO  CustomListener:20 - Testcase startedLoginPageTitleTest
  2024-09-20 11:37:04 WARN  CustomListener:28 - Testcase skippedLoginPageTitleTest
  2024-09-20 11:37:04 INFO  CustomListener:20 - Testcase startedkyariLogoImageTest
  2024-09-20 11:37:04 WARN  CustomListener:28 - Testcase skippedkyariLogoImageTest
  2024-09-20 11:37:04 INFO  CustomListener:20 - Testcase startedloginTest
  2024-09-20 11:37:04 WARN  CustomListener:28 - Testcase skippedloginTest
  2024-09-20 11:37:04 INFO  CustomListener:51 - Flushed the Extent Report
  2024-09-20 11:38:01 INFO  CustomListener:20 - Testcase startedLoginPageTitleTest
  2024-09-20 11:38:01 WARN  CustomListener:28 - Testcase skippedLoginPageTitleTest
  2024-09-20 11:38:01 INFO  CustomListener:51 - Flushed the Extent Report
  2024-09-20 11:44:11 INFO  CustomListener:20 - Testcase startedLoginPageTitleTest
  2024-09-20 11:44:12 WARN  CustomListener:28 - Testcase skippedLoginPageTitleTest
  2024-09-20 11:44:12 INFO  CustomListener:20 - Testcase startedkyariLogoImageTest
  2024-09-20 11:44:12 WARN  CustomListener:28 - Testcase skippedkyariLogoImageTest
  2024-09-20 11:44:12 INFO  CustomListener:20 - Testcase startedloginTest
  2024-09-20 11:44:12 WARN  CustomListener:28 - Testcase skippedloginTest
  2024-09-20 11:44:12 INFO  CustomListener:51 - Flushed the Extent Report
  2024-09-20 11:54:15 INFO  CustomListener:20 - Testcase startedLoginPageTitleTest
  2024-09-20 11:54:17 WARN  CustomListener:28 - Testcase skippedLoginPageTitleTest
  2024-09-20 11:54:18 INFO  CustomListener:51 - Flushed the Extent Report
  2024-09-20 12:00:41 INFO  CustomListener:20 - Testcase startedLoginPageTitleTest
  2024-09-20 12:00:42 WARN  CustomListener:28 - Testcase skippedLoginPageTitleTest
  2024-09-20 12:00:43 INFO  CustomListener:51 - Flushed the Extent Report
  2024-09-20 12:08:02 INFO  CustomListener:20 - Testcase startedLoginPageTitleTest
  2024-09-20 12:08:04 WARN  CustomListener:28 - Testcase skippedLoginPageTitleTest
  2024-09-20 12:08:04 INFO  CustomListener:51 - Flushed the Extent Report
  
